"subaward_action_date","subawardee_name","subaward_description","subaward_amount"
2018-08-15,"BADGER METER, INC.","Measuring Devices, NRE - Other.",47300
2018-08-15,"BADGER METER, INC.","Measuring Devices, NRE - Other.",47300
2018-11-01,"EMOTEQ CORPORATION","Firm Fixed Price",46830
2018-11-02,"EMOTEQ CORPORATION","Shafts.",46830
2018-10-22,"GLOBE MOTORS, INC.","Firm Fixed Price",46830
2019-08-21,"ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.","Testing (Non-Prod).",46637
2019-08-21,"ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.","Testing (Non-Prod).",46637
2021-01-20,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","CableAssy&HarnMulti.",46428
2017-11-28,"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","GPS Receivers.",45100
2017-11-28,"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","GPS Receivers.",45100
2020-03-20,"VENTURA AEROSPACE, INC.","Major Assemblies.",44273
2020-03-20,"VENTURA AEROSPACE, INC.","Major Assemblies.",44273
2019-02-27,"SPARTRONICS LOGAN, LLC","Integrtd Electr Assy, NRE - Data Items.",42940
2018-09-06,"A. P. I. INCORPORATED","Firm Fixed Price",42463
2017-10-02,"STANLEY MACHINING & TOOL CORP.","Firm Fixed Price",41970
2016-06-07,"L3 TECHNOLOGIES, INC.","Encoders.",41145
2016-06-07,"L3 TECHNOLOGIES, INC.","Encoders.",41145
2018-04-10,"A. P. I. INCORPORATED","Clamps, Washers.",40618
2018-04-10,"A. P. I. INCORPORATED","Clamps, Washers.",40618
2019-04-17,"PCB PIEZOTRONICS, INC.","Accelerometers, CableMulticonductor.",40261
2021-06-09,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","CableAssy&HarnMulti.",39096
2020-06-16,"CAID INDUSTRIES, INC","Machine Shop Work.",38762
2020-06-16,"CAID INDUSTRIES, INC","Machine Shop Work.",38762
2018-12-20,"A. P. I. INCORPORATED","Firm Fixed Price",35300
2019-01-25,"PROMAT INC","Composites.",34429
2019-01-25,"PROMAT INC","Composites.",34429
2019-04-17,"PCB PIEZOTRONICS, INC.","Accelerometers, CableMulticonductor.",33520
2020-03-03,"PRAXIS RESOURCES INC.","Wire Cable.",33313
2020-03-03,"PRAXIS RESOURCES INC.","Wire Cable.",33313
2018-03-23,"HI-TECH MACHINING & ENGINEERING, L.L.C.","Firm Fixed Price",32304
2018-12-17,"PARALLEL VENTURES, INC.","Firm Fixed Price",32105
2020-04-30,"L3 TECHNOLOGIES, INC.","Encoders.",31846
2020-04-30,"L3 TECHNOLOGIES, INC.","Encoders.",31846
2018-12-18,"PARALLEL VENTURES, INC.","Clamps, Non-complex Machined, Protect&Dust Covers.",31661
2018-12-18,"PARALLEL VENTURES, INC.","Clamps, Non-complex Machined, Protect&Dust Covers.",31661
2018-09-07,"A. P. I. INCORPORATED","Non-complex Machined.",31500
2018-09-07,"A. P. I. INCORPORATED","Non-complex Machined.",31500
2019-07-01,"DIVERSIFIED TECHNICAL SYSTEMS, INC.","AC-DC Power Supplies, Adaptors, Backshells, CableAssy&HarnMulti, Chargers, Custom - Computer SW, Filter Pin Connector, Flex Assy(w/Connect), Lithium Batteries, Microprocessors.",31429
2019-07-01,"DIVERSIFIED TECHNICAL SYSTEMS, INC.","AC-DC Power Supplies, Adaptors, Backshells, CableAssy&HarnMulti, Chargers, Custom - Computer SW, Filter Pin Connector, Flex Assy(w/Connect), Lithium Batteries, Microprocessors.",31429
2021-05-20,"DYTRAN INSTRUMENTS INC.","Amplifiers.",31004
2019-03-13,"CICOIL, LLC","CableAssy&HarnMulti, NRE - Other.",30940
2019-03-13,"CICOIL, LLC","CableAssy&HarnMulti, NRE - Other.",30940
2019-12-12,"VENTURA AEROSPACE, INC.","Major Assemblies.",30325
2019-12-12,"VENTURA AEROSPACE, INC.","Major Assemblies.",30325
2018-06-14,"A. P. I. INCORPORATED","Firm Fixed Price",30322
2018-08-22,"A. P. I. INCORPORATED","Test Equipment.",30322
2018-08-22,"A. P. I. INCORPORATED","Test Equipment.",30322
2019-02-06,"SHELLI INDUSTRIES LLC","Firm Fixed Price",30276
2019-01-21,"EAGLEPICHER TECHNOLOGIES, LLC","Lithium Batteries.",30198
2019-01-24,"PROMAT INC","Firm Fixed Price",27515
2019-01-31,"NICOMATIC, L.P.","Firm Fixed Price",25579
2019-01-31,"NICOMATIC, L.P.","Firm Fixed Price",25579
